window_days,start_utc,end_utc,nobs,theta,kappa,sigma,lambda,half_life_minutes,effective_half_life_minutes,conditional_mixed_loglik
90,2025-09-07 00:00:00+00:00,2025-12-06 00:00:00+00:00,25812,-1.383628410924217e-05,1.6597246319190253,0.0008098515463727717,0.9775571960070033,601.3840614344863,378.46995699782946,225128.08351744592
180,2020-08-04 00:00:00+00:00,2021-01-31 00:00:00+00:00,8541,0.0007103200788785602,3.388930424543321,0.002755500213253679,2.4098014799338467,294.5271265463721,172.12934766576623,63172.93266911343
180,2020-09-03 00:00:00+00:00,2021-03-02 00:00:00+00:00,17169,0.0007138542034921775,4.80895366309456,0.0026441742385631198,2.501593929119511,207.55698847054882,136.5331293471584,127891.71357406637
180,2020-10-03 00:00:00+00:00,2021-04-01 00:00:00+00:00,25781,0.0005215789941109641,4.68813588679465,0.002357872927819332,2.1433968290397503,212.90593193294984,146.10658859801856,194802.9172626803
180,2020-11-02 00:00:00+00:00,2021-05-01 00:00:00+00:00,34415,0.000506285147787717,4.368154613277368,0.0022280595347829134,1.940610465028972,228.501971283804,158.21352160322968,262013.12386465713
180,2020-12-02 00:00:00+00:00,2021-05-31 00:00:00+00:00,43039,0.000600115695574042,4.287992670354744,0.0021450692866266494,1.8536568100124886,232.7737047936106,162.51854541634293,329190.6907990091
180,2021-01-01 00:00:00+00:00,2021-06-30 00:00:00+00:00,51629,0.0005385686180952331,4.257783414092088,0.002014459840153868,1.7651772224265212,234.42524969747876,165.72114616761988,398126.97026157845
180,2021-01-31 00:00:00+00:00,2021-07-30 00:00:00+00:00,51623,0.0004463501080496703,4.888695342534011,0.001739306374450364,1.4364618891525904,204.17143431338238,157.8034985448369,405284.41550509783
180,2021-03-02 00:00:00+00:00,2021-08-29 00:00:00+00:00,51626,0.00039037120313942285,4.352155127403705,0.0014682814957528761,0.7635575176778101,229.34199512363446,195.11102543376273,412480.89896824094
180,2021-04-01 00:00:00+00:00,2021-09-28 00:00:00+00:00,51630,0.0004178494935938457,4.173319935789609,0.0013823895630156464,0.6759668508225336,239.16976300966743,205.83066828754139,415867.14442731196
180,2021-05-01 00:00:00+00:00,2021-10-28 00:00:00+00:00,51630,0.0003640311527237362,4.8426608257995465,0.0012654884813721732,0.4896229731886104,206.11229568024203,187.1865747647799,419518.5040211201
180,2021-05-31 00:00:00+00:00,2021-11-27 00:00:00+00:00,51644,0.0002869710243292302,8.988307440750857,0.0011456079790994654,0.21799334169499132,111.04781924581567,108.41834995327474,424113.9182980151
180,2021-06-30 00:00:00+00:00,2021-12-27 00:00:00+00:00,51683,0.00035222155512404184,7.413394065669097,0.0011904526349673227,0.21059375920529602,134.63899681639742,130.91992838049498,423422.73481326154
180,2021-07-30 00:00:00+00:00,2022-01-26 00:00:00+00:00,51776,0.00035536530869075656,7.476668776235506,0.0011909174470399497,0.16688432856028204,133.49955306016372,130.584811320283,423600.9063470988
180,2021-08-29 00:00:00+00:00,2022-02-25 00:00:00+00:00,51776,0.00038146055901241115,7.72017019998085,0.0011988864366057118,0.14906472471665314,129.28885168992738,126.83976899376782,423253.3492666947
180,2021-09-28 00:00:00+00:00,2022-03-27 00:00:00+00:00,51771,0.0003879217827456286,8.06890377831654,0.0011919963330262603,0.13074674325802405,123.70105870993133,121.72859530782192,423755.5560189269
180,2021-10-28 00:00:00+00:00,2022-04-26 00:00:00+00:00,51777,0.0004055023523752682,9.268541373258147,0.001175477182001268,0.12124056953673013,107.69029341403807,106.29979972774812,424444.27741179714
180,2021-11-27 00:00:00+00:00,2022-05-26 00:00:00+00:00,51772,0.00016234667118704513,2.4919153564453396,0.0022797718989903937,0.14796302413071447,400.5480914207831,378.09769849644226,400166.76359055954
180,2021-12-27 00:00:00+00:00,2022-06-25 00:00:00+00:00,51751,-0.00011582191659255793,2.1890494798967084,0.002261395093175056,0.15378315080293492,455.9659108543397,426.03638302077417,400377.9582196773
180,2022-01-26 00:00:00+00:00,2022-07-25 00:00:00+00:00,51719,-0.0002557015186775,2.1011326514542565,0.002265217647593608,0.1620371758025776,475.044704728892,441.0327179097059,400384.4791058863
180,2022-02-25 00:00:00+00:00,2022-08-24 00:00:00+00:00,51691,-0.00031597965733726863,2.2507934311464686,0.0022700062926291702,0.15711648968744688,443.4578163389746,414.52212616850915,399573.5399157072
180,2022-03-27 00:00:00+00:00,2022-09-23 00:00:00+00:00,51680,-0.000367915695659688,2.386371025122448,0.00227892177519225,0.15391164514818256,418.26351791004737,392.9216034450153,398896.8140967344
180,2022-04-26 00:00:00+00:00,2022-10-23 00:00:00+00:00,51666,-0.00040469673187827984,2.4892621206218952,0.002286050058172472,0.13432388956303606,400.97502458156424,380.44567097533997,398460.6530103785
180,2022-05-26 00:00:00+00:00,2022-11-22 00:00:00+00:00,51657,-0.00035247303262596303,2.7606980149143867,0.0016113777318846783,0.3827421649815249,361.5505696798477,317.5285301721162,413159.1731869134
180,2022-06-25 00:00:00+00:00,2022-12-22 00:00:00+00:00,51651,-0.00020913239807286664,3.3627698921940405,0.00161566339586575,0.3771431296893432,296.8183884134545,266.88640462116194,412560.9361650035
180,2022-07-25 00:00:00+00:00,2023-01-21 00:00:00+00:00,51689,-0.0001291256076977686,4.175342451970592,0.0016184963013514955,0.3798035429268987,239.05391030506814,219.12183300478014,412309.73521059565
180,2022-08-24 00:00:00+00:00,2023-02-20 00:00:00+00:00,51722,-0.00013459039015527405,4.2884748377522826,0.001631686122233676,0.404902056831527,232.74753327676558,212.668183788558,412203.92248201283
180,2022-09-23 00:00:00+00:00,2023-03-22 00:00:00+00:00,51742,0.00011333927726622625,1.216454614161611,0.0020536797601363147,1.0280072521537722,820.5254255985873,444.70879857045765,402432.1183469844
180,2022-10-23 00:00:00+00:00,2023-04-21 00:00:00+00:00,51756,0.000185853853773559,1.1562908726863856,0.002028779650061977,1.0670721833819434,863.2187311894825,448.9289040231522,403726.6410161103
