period,model,horizon_minutes,n_pairs,finite_score_coverage,mean_log_score,comparison_group,evaluation_error,density_evaluation,marginal,copula
validation_2024,Normal_StudentTMixed,60,40000,1.0,7.535485956105455,log_price_density,,,Normal,StudentTMixed
validation_2024,Normal_StudentTMixed,360,40000,1.0,6.79052537990607,log_price_density,,,Normal,StudentTMixed
validation_2024,Normal_StudentTMixed,1440,40000,1.0,6.307017588043333,log_price_density,,,Normal,StudentTMixed
test_2025,Normal_StudentTMixed,5,40000,1.0,8.859503057128508,log_price_density,,,Normal,StudentTMixed
test_2025,Normal_StudentTMixed,60,40000,1.0,7.779348501600404,log_price_density,,,Normal,StudentTMixed
test_2025,Normal_StudentTMixed,360,40000,1.0,6.991883564456817,log_price_density,,,Normal,StudentTMixed
test_2025,Normal_StudentTMixed,1440,40000,1.0,6.479397316463315,log_price_density,,,Normal,StudentTMixed
training_2021_2023,Normal_Frank,5,40000,1.0,7.898313142039106,log_price_density,,,Normal,Frank
training_2021_2023,Normal_Frank,60,40000,1.0,6.134053346255574,log_price_density,,,Normal,Frank
training_2021_2023,Normal_Frank,360,40000,1.0,5.67602031300269,log_price_density,,,Normal,Frank
training_2021_2023,Normal_Frank,1440,40000,1.0,5.6546604791287605,log_price_density,,,Normal,Frank
validation_2024,Normal_Frank,5,40000,1.0,8.359236541930159,log_price_density,,,Normal,Frank
validation_2024,Normal_Frank,60,40000,1.0,6.380112099861768,log_price_density,,,Normal,Frank
validation_2024,Normal_Frank,360,40000,1.0,5.873465096400778,log_price_density,,,Normal,Frank
validation_2024,Normal_Frank,1440,40000,1.0,5.866625212425774,log_price_density,,,Normal,Frank
test_2025,Normal_Frank,5,40000,1.0,8.537450545002354,log_price_density,,,Normal,Frank
test_2025,Normal_Frank,60,40000,1.0,6.452232132267556,log_price_density,,,Normal,Frank
test_2025,Normal_Frank,360,40000,1.0,6.02386812226016,log_price_density,,,Normal,Frank
test_2025,Normal_Frank,1440,40000,1.0,6.02733393195755,log_price_density,,,Normal,Frank
training_2021_2023,Normal_FrankMixed,5,40000,1.0,7.605663551249602,log_price_density,,,Normal,FrankMixed
training_2021_2023,Normal_FrankMixed,60,40000,1.0,7.471514147043525,log_price_density,,,Normal,FrankMixed
training_2021_2023,Normal_FrankMixed,360,40000,1.0,6.620842261682921,log_price_density,,,Normal,FrankMixed
training_2021_2023,Normal_FrankMixed,1440,40000,1.0,5.654830571022578,log_price_density,,,Normal,FrankMixed
validation_2024,Normal_FrankMixed,5,40000,1.0,5.384161970711335,log_price_density,,,Normal,FrankMixed
validation_2024,Normal_FrankMixed,60,40000,1.0,5.598957561166557,log_price_density,,,Normal,FrankMixed
validation_2024,Normal_FrankMixed,360,40000,1.0,5.94263727024034,log_price_density,,,Normal,FrankMixed
validation_2024,Normal_FrankMixed,1440,40000,1.0,5.866636841391665,log_price_density,,,Normal,FrankMixed
test_2025,Normal_FrankMixed,5,40000,1.0,5.892059883377907,log_price_density,,,Normal,FrankMixed
test_2025,Normal_FrankMixed,60,40000,1.0,5.914956624780474,log_price_density,,,Normal,FrankMixed
test_2025,Normal_FrankMixed,360,40000,1.0,6.158180773127513,log_price_density,,,Normal,FrankMixed
test_2025,Normal_FrankMixed,1440,40000,1.0,6.027355760388123,log_price_density,,,Normal,FrankMixed
training_2021_2023,Normal_Clayton,5,40000,1.0,7.750708911087902,log_price_density,,,Normal,Clayton
training_2021_2023,Normal_Clayton,60,40000,1.0,6.000862784721232,log_price_density,,,Normal,Clayton
training_2021_2023,Normal_Clayton,360,40000,1.0,5.6728368226001145,log_price_density,,,Normal,Clayton
training_2021_2023,Normal_Clayton,1440,40000,1.0,5.654660028962081,log_price_density,,,Normal,Clayton
validation_2024,Normal_Clayton,5,40000,1.0,8.306746216688463,log_price_density,,,Normal,Clayton
validation_2024,Normal_Clayton,60,40000,1.0,6.267137890000359,log_price_density,,,Normal,Clayton
validation_2024,Normal_Clayton,360,40000,1.0,5.868828103793206,log_price_density,,,Normal,Clayton
validation_2024,Normal_Clayton,1440,40000,1.0,5.866624675743292,log_price_density,,,Normal,Clayton
test_2025,Normal_Clayton,5,40000,1.0,8.449977415938363,log_price_density,,,Normal,Clayton
test_2025,Normal_Clayton,60,40000,1.0,6.309009301162234,log_price_density,,,Normal,Clayton
test_2025,Normal_Clayton,360,40000,1.0,6.021098770693237,log_price_density,,,Normal,Clayton
test_2025,Normal_Clayton,1440,40000,1.0,6.027333626315591,log_price_density,,,Normal,Clayton
training_2021_2023,Normal_ClaytonMixed,5,40000,1.0,7.7015668177044585,log_price_density,,,Normal,ClaytonMixed
training_2021_2023,Normal_ClaytonMixed,60,40000,1.0,7.541856269173068,log_price_density,,,Normal,ClaytonMixed
training_2021_2023,Normal_ClaytonMixed,360,40000,1.0,6.6178611108104874,log_price_density,,,Normal,ClaytonMixed
training_2021_2023,Normal_ClaytonMixed,1440,40000,1.0,5.654830585844859,log_price_density,,,Normal,ClaytonMixed
validation_2024,Normal_ClaytonMixed,5,40000,1.0,5.440032976221268,log_price_density,,,Normal,ClaytonMixed
validation_2024,Normal_ClaytonMixed,60,40000,1.0,5.644714540969087,log_price_density,,,Normal,ClaytonMixed
validation_2024,Normal_ClaytonMixed,360,40000,1.0,5.950053328808525,log_price_density,,,Normal,ClaytonMixed
validation_2024,Normal_ClaytonMixed,1440,40000,1.0,5.866635775027807,log_price_density,,,Normal,ClaytonMixed
test_2025,Normal_ClaytonMixed,5,40000,1.0,5.965802434555204,log_price_density,,,Normal,ClaytonMixed
test_2025,Normal_ClaytonMixed,60,40000,1.0,5.960713735271443,log_price_density,,,Normal,ClaytonMixed
test_2025,Normal_ClaytonMixed,360,40000,1.0,6.162951352262724,log_price_density,,,Normal,ClaytonMixed
test_2025,Normal_ClaytonMixed,1440,40000,1.0,6.027350758522614,log_price_density,,,Normal,ClaytonMixed
training_2021_2023,Normal_SurvivalClayton,5,40000,1.0,7.673310035218234,log_price_density,,,Normal,SurvivalClayton
training_2021_2023,Normal_SurvivalClayton,60,40000,1.0,6.010453550563933,log_price_density,,,Normal,SurvivalClayton
training_2021_2023,Normal_SurvivalClayton,360,40000,1.0,5.674181928115576,log_price_density,,,Normal,SurvivalClayton
training_2021_2023,Normal_SurvivalClayton,1440,40000,1.0,5.654660045427781,log_price_density,,,Normal,SurvivalClayton
validation_2024,Normal_SurvivalClayton,5,40000,1.0,7.97073285498944,log_price_density,,,Normal,SurvivalClayton
validation_2024,Normal_SurvivalClayton,60,40000,1.0,6.167177318346119,log_price_density,,,Normal,SurvivalClayton
validation_2024,Normal_SurvivalClayton,360,40000,1.0,5.868333974255284,log_price_density,,,Normal,SurvivalClayton
validation_2024,Normal_SurvivalClayton,1440,40000,1.0,5.866624671982572,log_price_density,,,Normal,SurvivalClayton
test_2025,Normal_SurvivalClayton,5,40000,1.0,8.137928996955168,log_price_density,,,Normal,SurvivalClayton
test_2025,Normal_SurvivalClayton,60,40000,1.0,6.236276262110022,log_price_density,,,Normal,SurvivalClayton
test_2025,Normal_SurvivalClayton,360,40000,1.0,6.020891067223236,log_price_density,,,Normal,SurvivalClayton
test_2025,Normal_SurvivalClayton,1440,40000,1.0,6.027333624370951,log_price_density,,,Normal,SurvivalClayton
training_2021_2023,Normal_SurvivalClaytonMixed,5,40000,1.0,7.677936581450997,log_price_density,,,Normal,SurvivalClaytonMixed
training_2021_2023,Normal_SurvivalClaytonMixed,60,40000,1.0,7.504980871792932,log_price_density,,,Normal,SurvivalClaytonMixed
training_2021_2023,Normal_SurvivalClaytonMixed,360,40000,1.0,6.61857702466983,log_price_density,,,Normal,SurvivalClaytonMixed
training_2021_2023,Normal_SurvivalClaytonMixed,1440,40000,1.0,5.66759920767411,log_price_density,,,Normal,SurvivalClaytonMixed
validation_2024,Normal_SurvivalClaytonMixed,5,40000,1.0,5.462453841660623,log_price_density,,,Normal,SurvivalClaytonMixed
validation_2024,Normal_SurvivalClaytonMixed,60,40000,1.0,5.630323830027476,log_price_density,,,Normal,SurvivalClaytonMixed
validation_2024,Normal_SurvivalClaytonMixed,360,40000,1.0,5.9426504566861915,log_price_density,,,Normal,SurvivalClaytonMixed
