period,model_mixed,marginal,copula_mixed,horizon_minutes,n_pairs_mixed,finite_score_coverage_mixed,mean_log_score_mixed,comparison_group_mixed,evaluation_error_mixed,copula_family,model_base,copula_base,n_pairs_base,finite_score_coverage_base,mean_log_score_base,comparison_group_base,evaluation_error_base,mixed_minus_base_log_score
test_2025,StudentT_GaussianMixed,StudentT,GaussianMixed,360,40000,1.0,6.94959632665329,log_price_density,,Gaussian,StudentT_Gaussian,Gaussian,40000,1.0,6.886985897286242,log_price_density,,0.06261042936704797
test_2025,StudentT_GaussianMixed,StudentT,GaussianMixed,1440,40000,1.0,6.505502800201704,log_price_density,,Gaussian,StudentT_Gaussian,Gaussian,40000,1.0,6.4719608152307595,log_price_density,,0.033541984970944405
training_2021_2023,StudentT_StudentTMixed,StudentT,StudentTMixed,5,40000,1.0,8.02080764348564,log_price_density,,StudentT,StudentT_StudentT,StudentT,40000,1.0,8.020816408518419,log_price_density,,-8.765032779578519e-06
training_2021_2023,StudentT_StudentTMixed,StudentT,StudentTMixed,60,40000,1.0,7.662652857481088,log_price_density,,StudentT,StudentT_StudentT,StudentT,40000,1.0,7.662654517313589,log_price_density,,-1.6598325007777248e-06
training_2021_2023,StudentT_StudentTMixed,StudentT,StudentTMixed,360,40000,1.0,7.136661079024318,log_price_density,,StudentT,StudentT_StudentT,StudentT,40000,1.0,7.136656426198323,log_price_density,,4.652825994710952e-06
training_2021_2023,StudentT_StudentTMixed,StudentT,StudentTMixed,1440,40000,1.0,6.683414734296773,log_price_density,,StudentT,StudentT_StudentT,StudentT,40000,1.0,6.683408909618404,log_price_density,,5.824678368959724e-06
validation_2024,StudentT_StudentTMixed,StudentT,StudentTMixed,5,40000,1.0,8.781201388549837,log_price_density,,StudentT,StudentT_StudentT,StudentT,40000,1.0,8.781202083065782,log_price_density,,-6.945159451987593e-07
validation_2024,StudentT_StudentTMixed,StudentT,StudentTMixed,60,40000,1.0,7.629834605580008,log_price_density,,StudentT,StudentT_StudentT,StudentT,40000,1.0,7.629835721195758,log_price_density,,-1.1156157500025188e-06
validation_2024,StudentT_StudentTMixed,StudentT,StudentTMixed,360,40000,1.0,6.928188545992521,log_price_density,,StudentT,StudentT_StudentT,StudentT,40000,1.0,6.928186756340513,log_price_density,,1.7896520079219158e-06
validation_2024,StudentT_StudentTMixed,StudentT,StudentTMixed,1440,40000,1.0,6.450748281010942,log_price_density,,StudentT,StudentT_StudentT,StudentT,40000,1.0,6.450744421354252,log_price_density,,3.8596566902526774e-06
test_2025,StudentT_StudentTMixed,StudentT,StudentTMixed,5,40000,1.0,9.020488315578651,log_price_density,,StudentT,StudentT_StudentT,StudentT,40000,1.0,9.020487520538687,log_price_density,,7.950399645295647e-07
test_2025,StudentT_StudentTMixed,StudentT,StudentTMixed,60,40000,1.0,8.060886289229723,log_price_density,,StudentT,StudentT_StudentT,StudentT,40000,1.0,8.060882166932645,log_price_density,,4.122297077913117e-06
test_2025,StudentT_StudentTMixed,StudentT,StudentTMixed,360,40000,1.0,7.359727531759396,log_price_density,,StudentT,StudentT_StudentT,StudentT,40000,1.0,7.359720626102023,log_price_density,,6.905657373046381e-06
test_2025,StudentT_StudentTMixed,StudentT,StudentTMixed,1440,40000,1.0,6.856292209667929,log_price_density,,StudentT,StudentT_StudentT,StudentT,40000,1.0,6.85628615302931,log_price_density,,6.056638619078569e-06
training_2021_2023,StudentT_FrankMixed,StudentT,FrankMixed,5,40000,1.0,8.055237042628416,log_price_density,,Frank,StudentT_Frank,Frank,40000,1.0,7.744986345862855,log_price_density,,0.3102506967655616
training_2021_2023,StudentT_FrankMixed,StudentT,FrankMixed,60,40000,1.0,7.890664817298164,log_price_density,,Frank,StudentT_Frank,Frank,40000,1.0,6.685426617715697,log_price_density,,1.2052381995824675
training_2021_2023,StudentT_FrankMixed,StudentT,FrankMixed,360,40000,1.0,7.013781504368349,log_price_density,,Frank,StudentT_Frank,Frank,40000,1.0,6.091247939496729,log_price_density,,0.9225335648716193
training_2021_2023,StudentT_FrankMixed,StudentT,FrankMixed,1440,40000,1.0,6.08356946984547,log_price_density,,Frank,StudentT_Frank,Frank,40000,1.0,6.083410562986106,log_price_density,,0.00015890685936348348
validation_2024,StudentT_FrankMixed,StudentT,FrankMixed,5,40000,1.0,5.807193773342394,log_price_density,,Frank,StudentT_Frank,Frank,40000,1.0,8.25047060990525,log_price_density,,-2.4432768365628554
validation_2024,StudentT_FrankMixed,StudentT,FrankMixed,60,40000,1.0,5.723969802413053,log_price_density,,Frank,StudentT_Frank,Frank,40000,1.0,6.580592393192249,log_price_density,,-0.856622590779196
validation_2024,StudentT_FrankMixed,StudentT,FrankMixed,360,40000,1.0,5.981973277134216,log_price_density,,Frank,StudentT_Frank,Frank,40000,1.0,5.9038715550721275,log_price_density,,0.07810172206208854
validation_2024,StudentT_FrankMixed,StudentT,FrankMixed,1440,40000,1.0,5.890765228003664,log_price_density,,Frank,StudentT_Frank,Frank,40000,1.0,5.890752540389428,log_price_density,,1.268761423567355e-05
test_2025,StudentT_FrankMixed,StudentT,FrankMixed,5,40000,1.0,6.387217886536233,log_price_density,,Frank,StudentT_Frank,Frank,40000,1.0,8.640974483912956,log_price_density,,-2.2537565973767233
test_2025,StudentT_FrankMixed,StudentT,FrankMixed,60,40000,1.0,6.2794083265326295,log_price_density,,Frank,StudentT_Frank,Frank,40000,1.0,6.899267291977719,log_price_density,,-0.6198589654450899
