theta,kappa,sigma
4.316998900729575e-05,1.5149631896435614,0.001120156127677885
9.524927775544355e-05,1.522296403563291,0.0014829419761207222
6.263322474656982e-05,1.660115042820003,0.0013183573539872861
5.1869170419585495e-05,1.532445320658392,0.0011534149828139144
0.00010694659965394136,1.8707705558801273,0.0013084346167821248
7.236653865662528e-05,1.720944816019945,0.0013139616131825635
0.00010067672659779313,1.6845905986083272,0.0011144817479657974
5.6158811761144056e-05,1.8711706873838008,0.0013469593394745745
8.816100526064005e-05,1.6840883322058913,0.0015404683065457065
6.327124255533745e-05,1.7249738368182614,0.0012472114480729184
0.0001059391677852336,1.682972644004066,0.0011830395392274959
5.758799255530018e-05,1.5926532363442116,0.0013255063532830718
6.439597224881326e-05,2.068873523636883,0.0013612110793096944
0.00011035251243341012,1.381274822760194,0.001211211965890937
2.8822335501844174e-05,1.7362898082524405,0.0011614042960406774
6.627819614395933e-05,1.7041298761914085,0.0012916451827565184
9.652962078342911e-05,1.6116166392150506,0.0011771818445712639
6.320266707974813e-05,1.861303294914406,0.0013803826768504748
4.483643718485673e-05,1.6221840433999486,0.0011302641655953063
7.815901363598397e-05,1.604514758400488,0.0014174798510756491
6.0600062098059065e-05,1.6930651533415966,0.0014159559085148606
5.656339257386705e-05,1.972288793537697,0.0014607803433347361
8.394548073958155e-05,1.6134730765614622,0.001325076177690268
9.864719737216755e-05,1.1389129098981425,0.0012138743275502237
7.6306477936595e-05,1.2661308312049182,0.0013454534564764364
8.679810878902345e-05,1.5916370820082426,0.0013122306680846282
4.809619798990158e-05,1.7787228087392242,0.0012935648650531212
7.722214164782547e-05,1.5605024770632032,0.0013679232284203445
6.606141466908026e-05,1.722971286782754,0.0015027852063748304
6.177085140456602e-05,1.7284723039273802,0.0013174508030063864
6.265794826826425e-05,1.6874066492677828,0.0012770317745547505
7.0351494850698e-05,1.8891603220625843,0.0013137000722216285
5.524679565178076e-05,1.616688718394215,0.0011163182727798391
6.813166156814445e-05,1.5749031405153893,0.001193833710026847
8.06146239097869e-05,1.570106605134295,0.0014594599449309499
5.250290387604453e-05,1.5285932767324981,0.00121484883307992
5.432060558024391e-05,1.722940392891702,0.0011699560395699844
6.218343257846987e-05,1.7005932901060834,0.0013415906752271413
0.00010317812215212688,1.2904664183396568,0.001293062142197662
9.383301525021271e-05,1.747705458806564,0.0015498828507761143
3.715358349969664e-05,1.685475622335994,0.0013029110083751646
6.754354307590715e-05,1.447753153814939,0.0014376252723360037
5.282525073424565e-05,1.559591805500246,0.0015401517416724702
3.5320069961367646e-05,1.9703552604790806,0.001176315403821887
6.059020559862466e-05,1.6768615927055175,0.001687960325917026
5.590560379227283e-05,2.163493563495167,0.0017027389557898404
5.055365795102177e-05,1.7610244948884386,0.001490892451423377
9.41271044214246e-05,1.8812944899929118,0.0014247369823961059
6.86491075026494e-05,1.6899661618366804,0.0011601236014388333
5.5785175647883766e-05,1.999359776701415,0.0016055000685635747
6.250654882706801e-05,1.6150621041488313,0.0011628760099003565
8.049014085019704e-05,1.734992143168214,0.0012635158371803942
6.229719419102741e-05,1.805812491747659,0.0013535816180862445
7.367142960365214e-05,1.6970224367525182,0.0011521050416920945
5.856206211783101e-05,1.6118400041300387,0.0014575624773894794
6.099129341358562e-05,1.7011349810988354,0.0015369122490021471
5.1656906755841183e-05,1.7807296211537778,0.0012630942443808703
6.357769531360616e-05,1.5002965151145378,0.001175032689398302
