asset,frequency_minutes,price_proxy,period,start_utc,end_utc,observations,theoretical_bars,bar_coverage,exact_pairs,exact_pair_share_of_adjacent,tie_count,tie_rate,min_nonzero_price_change,p01_nonzero_price_change,modal_nonzero_price_change,zero_volume_rate,one_trade_or_less_rate,continuous_segments,median_segment_bars,p90_segment_bars,max_segment_bars
DAI,1,typical_price,2024,2024-01-01 00:35:00+00:00,2024-12-31 23:58:00+00:00,70365,527004,0.13351891067240476,23932,0.3401171053379569,4926,0.2058331940498078,1.1102230246251565e-16,3.333333333133126e-06,3.3333e-06,0.0,0.41722447239394583,46433,1.0,3.0,63
DAI,1,close,2025,2025-01-01 00:03:00+00:00,2025-12-31 22:55:00+00:00,44961,525533,0.08555314318986629,11618,0.25840747330960856,2682,0.23084868307798245,9.999999999843467e-06,9.999999999843467e-06,1e-05,0.0,0.4635350637218923,33343,1.0,2.0,49
DAI,1,ohlc_average,2025,2025-01-01 00:03:00+00:00,2025-12-31 22:55:00+00:00,44961,525533,0.08555314318986629,11618,0.25840747330960856,1530,0.13169220175589602,1.1102230246251565e-16,2.4999999999053557e-06,1e-05,0.0,0.4635350637218923,33343,1.0,2.0,49
DAI,1,typical_price,2025,2025-01-01 00:03:00+00:00,2025-12-31 22:55:00+00:00,44961,525533,0.08555314318986629,11618,0.25840747330960856,1568,0.1349629884661732,1.1102230246251565e-16,3.333333333133126e-06,1e-05,0.0,0.4635350637218923,33343,1.0,2.0,49
USDT,5,close,full,2017-03-29 17:05:00+00:00,2025-12-31 23:55:00+00:00,797178,921395,0.8651859408831174,750220,0.9410958921293514,269941,0.3598157873690384,9.99999993922529e-09,9.999999999843467e-06,0.0001,0.0,0.03992709281992227,46958,2.0,8.0,21579
USDT,5,ohlc_average,full,2017-03-29 17:05:00+00:00,2025-12-31 23:55:00+00:00,797178,921395,0.8651859408831174,750220,0.9410958921293514,127105,0.16942363573351818,1.1102230246251565e-16,1.1102230246251565e-16,2.5e-05,0.0,0.03992709281992227,46958,2.0,8.0,21579
USDT,5,typical_price,full,2017-03-29 17:05:00+00:00,2025-12-31 23:55:00+00:00,797178,921395,0.8651859408831174,750220,0.9410958921293514,170879,0.22777185358961372,1.1102230246251565e-16,2.220446049250313e-16,3.33333e-05,0.0,0.03992709281992227,46958,2.0,8.0,21579
USDT,5,close,2017,2017-03-29 17:05:00+00:00,2017-12-31 23:55:00+00:00,43706,79859,0.5472895979163275,32295,0.7389314723715822,7926,0.2454249883882954,5.0000000000105516e-05,9.999999999998899e-05,0.0001,0.0,0.16505742918592414,11411,2.0,6.0,627
USDT,5,ohlc_average,2017,2017-03-29 17:05:00+00:00,2017-12-31 23:55:00+00:00,43706,79859,0.5472895979163275,32295,0.7389314723715822,3239,0.10029416318315529,1.1102230246251565e-16,2.4999999999941735e-05,5e-05,0.0,0.16505742918592414,11411,2.0,6.0,627
USDT,5,typical_price,2017,2017-03-29 17:05:00+00:00,2017-12-31 23:55:00+00:00,43706,79859,0.5472895979163275,32295,0.7389314723715822,3810,0.11797491871806781,1.1102230246251565e-16,3.333333333310762e-05,3.33333e-05,0.0,0.16505742918592414,11411,2.0,6.0,627
USDT,5,close,2018,2018-01-01 00:00:00+00:00,2018-12-31 23:55:00+00:00,53635,105120,0.510226407914764,36731,0.6848454338665771,8227,0.22397974462987666,4.999999998478444e-07,9.999999999998899e-05,0.0001,0.0,0.152978465554209,16904,2.0,6.0,310
USDT,5,ohlc_average,2018,2018-01-01 00:00:00+00:00,2018-12-31 23:55:00+00:00,53635,105120,0.510226407914764,36731,0.6848454338665771,3295,0.08970624268329204,1.1102230246251565e-16,2.4999999999941735e-05,5e-05,0.0,0.152978465554209,16904,2.0,6.0,310
USDT,5,typical_price,2018,2018-01-01 00:00:00+00:00,2018-12-31 23:55:00+00:00,53635,105120,0.510226407914764,36731,0.6848454338665771,3592,0.09779205575671776,1.1102230246251565e-16,3.333333333321864e-05,3.33333e-05,0.0,0.152978465554209,16904,2.0,6.0,310
