refit_utc,fit_start_utc,fit_end_exclusive_utc,forecast_end_exclusive_utc,model,theta,kappa,sigma,lambda,slow_mean,rw_step_sd,fit_nobs,no_lookahead
2025-08-23 00:00:00+00:00,2024-08-23 00:00:00+00:00,2025-08-23 00:00:00+00:00,2025-09-22 00:00:00+00:00,MOUF,-3.650693073524277e-05,1.0465589579554258,0.0007442517800837179,2.2482448184388586,,,105024,True
2025-09-22 00:00:00+00:00,2024-09-22 00:00:00+00:00,2025-09-22 00:00:00+00:00,2025-10-22 00:00:00+00:00,RandomWalk,0.0,0.0,0.0,0.0,,4.4307123693727225e-05,104998,True
2025-09-22 00:00:00+00:00,2024-09-22 00:00:00+00:00,2025-09-22 00:00:00+00:00,2025-10-22 00:00:00+00:00,NestedOU_proxy,-7.2293502261383224e-06,1.4611376761165062,0.0007527780881943041,0.0,0.00015821718527271107,,104998,True
2025-09-22 00:00:00+00:00,2024-09-22 00:00:00+00:00,2025-09-22 00:00:00+00:00,2025-10-22 00:00:00+00:00,OUF,-3.447258397333493e-05,1.0697543057705652,0.0007524633120016074,0.0,,,104998,True
2025-09-22 00:00:00+00:00,2024-09-22 00:00:00+00:00,2025-09-22 00:00:00+00:00,2025-10-22 00:00:00+00:00,MOUF,-3.447258397333493e-05,1.0697543057705652,0.0007524633120016074,2.2133808605681047,,,104998,True
2025-10-22 00:00:00+00:00,2024-10-22 00:00:00+00:00,2025-10-22 00:00:00+00:00,2025-11-21 00:00:00+00:00,RandomWalk,0.0,0.0,0.0,0.0,,4.665358829833358e-05,105018,True
2025-10-22 00:00:00+00:00,2024-10-22 00:00:00+00:00,2025-10-22 00:00:00+00:00,2025-11-21 00:00:00+00:00,NestedOU_proxy,3.3923154817250295e-05,1.6630275565679882,0.000792783503697787,0.0,0.00031564693704481234,,105018,True
2025-10-22 00:00:00+00:00,2024-10-22 00:00:00+00:00,2025-10-22 00:00:00+00:00,2025-11-21 00:00:00+00:00,OUF,1.1391081459861436e-05,1.163564680863858,0.0007924030901709815,0.0,,,105018,True
2025-10-22 00:00:00+00:00,2024-10-22 00:00:00+00:00,2025-10-22 00:00:00+00:00,2025-11-21 00:00:00+00:00,MOUF,1.1391081459861436e-05,1.163564680863858,0.0007924030901709815,1.8871513338870523,,,105018,True
2025-11-21 00:00:00+00:00,2024-11-21 00:00:00+00:00,2025-11-21 00:00:00+00:00,2025-12-21 00:00:00+00:00,RandomWalk,0.0,0.0,0.0,0.0,,4.410099210810675e-05,104920,True
2025-11-21 00:00:00+00:00,2024-11-21 00:00:00+00:00,2025-11-21 00:00:00+00:00,2025-12-21 00:00:00+00:00,NestedOU_proxy,-5.193695266683572e-05,1.7584541957259556,0.0007494721204410181,0.0,-0.0004124457070620328,,104920,True
2025-11-21 00:00:00+00:00,2024-11-21 00:00:00+00:00,2025-11-21 00:00:00+00:00,2025-12-21 00:00:00+00:00,OUF,-1.9176229461551587e-05,1.2001555879310606,0.0007490632520213231,0.0,,,104920,True
2025-11-21 00:00:00+00:00,2024-11-21 00:00:00+00:00,2025-11-21 00:00:00+00:00,2025-12-21 00:00:00+00:00,MOUF,-1.9176229461551587e-05,1.2001555879310606,0.0007490632520213231,1.7660861976684163,,,104920,True
2025-12-21 00:00:00+00:00,2024-12-21 00:00:00+00:00,2025-12-21 00:00:00+00:00,2026-01-01 00:00:00+00:00,RandomWalk,0.0,0.0,0.0,0.0,,4.0200487396164906e-05,104923,True
2025-12-21 00:00:00+00:00,2024-12-21 00:00:00+00:00,2025-12-21 00:00:00+00:00,2026-01-01 00:00:00+00:00,NestedOU_proxy,5.082277449418447e-06,1.8982390379741567,0.0006832658822709903,0.0,-0.00020958862476868102,,104923,True
2025-12-21 00:00:00+00:00,2024-12-21 00:00:00+00:00,2025-12-21 00:00:00+00:00,2026-01-01 00:00:00+00:00,OUF,-6.069484109433683e-05,1.1664249337330628,0.000682789163591081,0.0,,,104923,True
2025-12-21 00:00:00+00:00,2024-12-21 00:00:00+00:00,2025-12-21 00:00:00+00:00,2026-01-01 00:00:00+00:00,MOUF,-6.069484109433683e-05,1.1664249337330628,0.000682789163591081,1.9242364813576929,,,104923,True
