replication,initialization,null_loglik,alternative_loglik,lr,theta_null,kappa_null,sigma_null,theta_alt,kappa_alt,sigma_alt,lambda_alt,alternative_converged,alternative_gradient_norm,ifm_loglik,ifm_theta,ifm_tau,ifm_kappa,ifm_lambda,ifm_converged,ifm_gradient_norm,fit_failed
35,stationary_initial,201630.512537668,201630.512537668,0.0,4.965714314790848e-05,2.9682541382110257,0.001297216547215113,4.965714314790848e-05,2.9682541382110257,0.001297216547215113,0.0,True,0.6680142715896341,201630.25240985837,3.3331802215755945e-05,0.0005474289553866703,2.8076937656100913,1.522997974471263e-08,True,1.7763568501960078e-07,False
36,stationary_initial,201627.97789982083,201627.97789982086,5.820766091346741e-11,-3.2903978399221734e-05,2.6412860139717194,0.0012966142276328726,-3.290397840556149e-05,2.6412860139717194,0.0012966142276328726,0.0,True,0.6696499394057824,201627.71310284597,-5.901553307098894e-06,0.0005779114556974532,2.516975130881917,1.522997974471263e-08,True,1.776356830474485e-07,False
37,stationary_initial,201588.21269031972,201588.21269031978,1.1641532182693481e-10,-5.127706837704947e-06,2.762307063146663,0.001298950309518477,-5.127875912874374e-06,2.762307063145606,0.001298950309518974,0.0,True,0.6565160903212347,201587.8221772712,-4.797517419672926e-05,0.0005588656938997428,2.701183772370292,1.522997974471263e-08,True,1.776356830474485e-07,False
38,stationary_initial,201627.64986879547,201627.6498687955,5.820766091346741e-11,-9.633592418532966e-05,2.7698908908458244,0.0012969198684023974,-9.633610019009572e-05,2.7698908908458244,0.0012969198684023978,0.0,True,0.7160943879020368,201627.32554305127,-0.00013444620776782254,0.000544238278439478,2.8394166725554584,1.522997974471263e-08,True,1.7763568501960078e-07,False
39,stationary_initial,201810.84883426747,201810.84883426747,0.0,-7.41538033829821e-05,2.8755443510006686,0.001287686232158702,-7.41538033829821e-05,2.8755443510006686,0.001287686232158702,0.0,True,0.6721048657090324,201810.70862905556,-8.964774902443131e-05,0.0005471392298138031,2.7694892750673343,1.522997974471263e-08,True,3.5527137003920156e-07,False
40,stationary_initial,201479.21431405435,201479.21431405435,0.0,-6.790958342554456e-05,2.8095174878190137,0.001304732602390263,-6.790958342554456e-05,2.8095174878190137,0.001304732602390263,0.0,True,0.6248161139821192,201479.2083580106,-6.322615272172839e-05,0.0005518005528962876,2.795433089926812,1.522997974471263e-08,True,0.0,False
41,stationary_initial,201637.75172830225,201637.7517283023,1.1641532182693481e-10,-3.5556711201789474e-05,2.4124007100571165,0.0012955939846660178,-3.555696688200148e-05,2.4124007100571165,0.001295593984666018,0.0,True,0.7200448260514185,201637.726358687,-4.1559038906758166e-05,0.0005841038639365427,2.4599618873712203,1.522997974471263e-08,True,0.0,False
42,stationary_initial,201719.58790108562,201719.58790108567,1.1641532182693481e-10,-0.00018546640580817216,2.9034616565937132,0.0012924578714075489,-0.0001854665886225737,2.9034616565937137,0.0012924578714075493,0.0,True,0.622498147664975,201718.51919477482,-0.00012161674185869967,0.0005223443462024072,3.0614424344635807,1.522997974471263e-08,True,0.0,False
43,stationary_initial,201456.47727477425,201456.47727477428,5.820766091346741e-11,-0.00010908361971868851,2.6942672131387733,0.001305659332699863,-0.00010908392329277638,2.6942672131387733,0.0013056593326998625,0.0,True,0.6011488236246679,201455.72042144692,-6.96595977490574e-05,0.0005378068631684597,2.94715479317433,1.522997974471263e-08,True,0.0,False
44,stationary_initial,201724.38326202938,201724.38326202947,1.7462298274040222e-10,-6.226940709876865e-05,3.2443717789584583,0.0012929722915098899,-6.226965947673464e-05,3.2443717789611255,0.0012929722915098903,0.0,True,0.5871012212559612,201724.01016142598,-5.38632357984885e-05,0.0005258872119235109,3.0225801734888544,1.522997974471263e-08,True,1.7763568501960078e-07,False
