period,model,horizon_minutes,nobs,MAE,RMSE,NLS,CRPS,direction_accuracy,threshold,Brier,event_log_score,AUC
test_2025,OUF,60,104836,5.850346972841777e-05,9.415626685910549e-05,-7.664401869137908,5.2506133160504245e-05,0.48362203823114197,0.0025,0.00020877833416240428,0.004031494732902257,0.6775556663703577
test_2025,OUF,60,104836,5.850346972841777e-05,9.415626685910549e-05,-7.664401869137908,5.2506133160504245e-05,0.48362203823114197,0.005,5.424544036438097e-05,0.0012444939025829862,0.4999856915284309
test_2025,OUF,60,104836,5.850346972841777e-05,9.415626685910549e-05,-7.664401869137908,5.2506133160504245e-05,0.48362203823114197,0.01,1e-24,1.0000000000005004e-12,
test_2025,MOUF,60,104836,6.803853410042886e-05,0.00010323372733317326,-7.6373735665750955,5.6284095062048164e-05,0.48362203823114197,0.001,0.0070351203366537055,0.030735069225980936,0.9947396828781796
test_2025,MOUF,60,104836,6.803853410042886e-05,0.00010323372733317326,-7.6373735665750955,5.6284095062048164e-05,0.48362203823114197,0.0025,0.00019128068991451871,0.0018143543927755196,0.3404301541530256
test_2025,MOUF,60,104836,6.803853410042886e-05,0.00010323372733317326,-7.6373735665750955,5.6284095062048164e-05,0.48362203823114197,0.005,4.992851122532027e-05,0.0008504832868800207,0.4999856915284309
test_2025,MOUF,60,104836,6.803853410042886e-05,0.00010323372733317326,-7.6373735665750955,5.6284095062048164e-05,0.48362203823114197,0.01,1e-24,1.0000000000005004e-12,
test_2025,RandomWalk,360,104662,0.00011303160959285175,0.00017262800415606566,-6.833116286068678,0.00011673190062056756,0.040205614263056313,0.001,0.018089107557553136,0.08474502304059497,0.9770359141116253
test_2025,RandomWalk,360,104662,0.00011303160959285175,0.00017262800415606566,-6.833116286068678,0.00011673190062056756,0.040205614263056313,0.0025,0.00032493486993630564,0.0038877000882570323,0.4859333316538695
test_2025,RandomWalk,360,104662,0.00011303160959285175,0.00017262800415606566,-6.833116286068678,0.00011673190062056756,0.040205614263056313,0.005,5.452571089603789e-05,0.0009816536981398834,0.49835656751927687
test_2025,RandomWalk,360,104662,0.00011303160959285175,0.00017262800415606566,-6.833116286068678,0.00011673190062056756,0.040205614263056313,0.01,1e-24,1.0000000000005006e-12,
test_2025,NestedOU_proxy,360,104662,0.00014099153532081928,0.0002024873458367632,-6.90857133092973,0.00011846962081562716,0.5356767499187862,0.001,0.02001419734313145,0.07224315600269489,0.9695285949573382
test_2025,NestedOU_proxy,360,104662,0.00014099153532081928,0.0002024873458367632,-6.90857133092973,0.00011846962081562716,0.5356767499187862,0.0025,0.00014174302280037427,0.003400323396967112,0.40471228611810167
test_2025,NestedOU_proxy,360,104662,0.00014099153532081928,0.0002024873458367632,-6.90857133092973,0.00011846962081562716,0.5356767499187862,0.005,2.881834108067902e-05,0.0007934185660373924,0.4999856677399937
test_2025,NestedOU_proxy,360,104662,0.00014099153532081928,0.0002024873458367632,-6.90857133092973,0.00011846962081562716,0.5356767499187862,0.01,1e-24,1.0000000000005006e-12,
test_2025,OUF,360,104662,0.00012296819243129818,0.00018094731219613208,-6.915553719489721,0.00011244891107721738,0.535103475951157,0.001,0.01717514886126516,0.06469176307322008,0.9766002212878884
test_2025,OUF,360,104662,0.00012296819243129818,0.00018094731219613208,-6.915553719489721,0.00011244891107721738,0.535103475951157,0.0025,0.00015303424306985865,0.0034559401975487024,0.4071793606628439
test_2025,OUF,360,104662,0.00012296819243129818,0.00018094731219613208,-6.915553719489721,0.00011244891107721738,0.535103475951157,0.005,3.1949028330943537e-05,0.0008016252763728818,0.4999808903199916
test_2025,OUF,360,104662,0.00012296819243129818,0.00018094731219613208,-6.915553719489721,0.00011244891107721738,0.535103475951157,0.01,1e-24,1.0000000000005006e-12,
test_2025,MOUF,360,104662,0.0001913792380374101,0.00026167553154619183,-6.718203663268134,0.00014777814057673856,0.535103475951157,0.001,0.022035554764777816,0.0954219529836695,0.9721668952644631
test_2025,MOUF,360,104662,0.0001913792380374101,0.00026167553154619183,-6.718203663268134,0.00014777814057673856,0.535103475951157,0.0025,0.00012094925327645371,0.0015944628858364852,0.1571183353153903
