slice,first_parameter,first_value,second_parameter,second_value,mean_loglik,nobs,nuisance_parameters,relative_mean_loglik
kappa_lambda,kappa,0.008432507171552252,lambda,8.34203445866076,7.9720372019369865,40000,held_at_MOU-UQML_estimate,-0.31343967121866356
kappa_lambda,kappa,0.010171545228785682,lambda,0.4153254399204202,8.034924108625345,40000,held_at_MOU-UQML_estimate,-0.25055276453030473
kappa_lambda,kappa,0.010171545228785682,lambda,0.500978108986087,8.038920064376741,40000,held_at_MOU-UQML_estimate,-0.24655680877890873
kappa_lambda,kappa,0.010171545228785682,lambda,0.604294949356739,8.042892871866373,40000,held_at_MOU-UQML_estimate,-0.24258400128927704
kappa_lambda,kappa,0.010171545228785682,lambda,0.7289188474864182,8.046831301307046,40000,held_at_MOU-UQML_estimate,-0.23864557184860402
kappa_lambda,kappa,0.010171545228785682,lambda,0.879243963211196,8.05072198547652,40000,held_at_MOU-UQML_estimate,-0.23475488767913077
kappa_lambda,kappa,0.010171545228785682,lambda,1.0605706650461326,8.054548932242453,40000,held_at_MOU-UQML_estimate,-0.23092794091319746
kappa_lambda,kappa,0.010171545228785682,lambda,1.279292417827172,8.05829294278522,40000,held_at_MOU-UQML_estimate,-0.22718393037042972
kappa_lambda,kappa,0.010171545228785682,lambda,1.543121212238039,8.061930914084266,40000,held_at_MOU-UQML_estimate,-0.22354595907138375
kappa_lambda,kappa,0.010171545228785682,lambda,1.861359484724696,8.065435000324857,40000,held_at_MOU-UQML_estimate,-0.22004187283079268
kappa_lambda,kappa,0.010171545228785682,lambda,2.245228115521578,8.068771603181485,40000,held_at_MOU-UQML_estimate,-0.21670526997416495
kappa_lambda,kappa,0.010171545228785682,lambda,2.7082620697925917,8.07190015523343,40000,held_at_MOU-UQML_estimate,-0.21357671792221922
kappa_lambda,kappa,0.010171545228785682,lambda,3.2667876319432994,8.074771653913169,40000,held_at_MOU-UQML_estimate,-0.21070521924248098
kappa_lambda,kappa,0.010171545228785682,lambda,3.940498060084341,8.077326895226829,40000,held_at_MOU-UQML_estimate,-0.20814997792882117
kappa_lambda,kappa,0.010171545228785682,lambda,4.753147957858425,8.079494346794027,40000,held_at_MOU-UQML_estimate,-0.20598252636162329
kappa_lambda,kappa,0.010171545228785682,lambda,5.733390846742393,8.08118758821523,40000,held_at_MOU-UQML_estimate,-0.20428928494042076
kappa_lambda,kappa,0.010171545228785682,lambda,6.915789471094045,8.082302233023242,40000,held_at_MOU-UQML_estimate,-0.20317464013240816
kappa_lambda,kappa,0.010171545228785682,lambda,8.34203445866076,8.082712230176998,40000,held_at_MOU-UQML_estimate,-0.20276464297865182
kappa_lambda,kappa,0.012269225538314938,lambda,0.4153254399204202,8.122047271334875,40000,held_at_MOU-UQML_estimate,-0.16342960182077526
kappa_lambda,kappa,0.012269225538314938,lambda,0.500978108986087,8.12547742434114,40000,held_at_MOU-UQML_estimate,-0.15999944881451
kappa_lambda,kappa,0.012269225538314938,lambda,0.604294949356739,8.128923819693092,40000,held_at_MOU-UQML_estimate,-0.15655305346255766
kappa_lambda,kappa,0.012269225538314938,lambda,0.7289188474864182,8.13236886992822,40000,held_at_MOU-UQML_estimate,-0.15310800322743034
kappa_lambda,kappa,0.012269225538314938,lambda,0.879243963211196,8.135793240343753,40000,held_at_MOU-UQML_estimate,-0.14968363281189667
kappa_lambda,kappa,0.012269225538314938,lambda,1.0605706650461326,8.13917536707869,40000,held_at_MOU-UQML_estimate,-0.14630150607695924
kappa_lambda,kappa,0.012269225538314938,lambda,1.279292417827172,8.142490843151613,40000,held_at_MOU-UQML_estimate,-0.1429860300040371
